meter_reading,timestamp,air_temperature,dew_temperature,sea_level_pressure,wind_direction,wind_speed,month,day,hour
512.0,2016-01-01 01:00:00,5.6,-0.6,1019.3,300.0,2.6,1,1,1
541.0,2016-01-01 02:00:00,5.6,-0.6,1019.4,300.0,2.6,1,1,2
522.0,2016-01-01 03:00:00,5.6,-1.1,1019.4,186.1476210473924,1.5,1,1,3
531.0,2016-01-01 04:00:00,5.0,-2.2,1019.2,290.0,3.1,1,1,4
511.0,2016-01-01 05:00:00,4.4,-2.2,1018.9,300.0,4.1,1,1,5
550.0,2016-01-01 06:00:00,4.4,-2.8,1018.4,300.0,2.6,1,1,6
538.0,2016-01-01 07:00:00,3.9,-2.8,1018.2,300.0,3.6,1,1,7
555.0,2016-01-01 08:00:00,3.9,-3.3,1018.3,300.0,4.1,1,1,8
545.0,2016-01-01 09:00:00,3.3,-3.3,1018.2,280.0,3.1,1,1,9
537.0,2016-01-01 10:00:00,3.3,-3.3,1018.0,280.0,2.6,1,1,10
531.0,2016-01-01 11:00:00,3.3,-3.3,1017.9,280.0,2.6,1,1,11
526.0,2016-01-01 12:00:00,2.8,-3.3,1017.8,300.0,2.6,1,1,12
502.0,2016-01-01 13:00:00,2.8,-2.8,1018.3,270.0,1.5,1,1,13
521.0,2016-01-01 14:00:00,3.3,-2.8,1018.1,290.0,2.6,1,1,14
483.0,2016-01-01 15:00:00,3.9,-3.9,1018.3,300.0,2.6,1,1,15
559.0,2016-01-01 16:00:00,3.9,-3.3,1017.9,280.0,3.6,1,1,16
497.0,2016-01-01 17:00:00,4.4,-3.3,1016.9,290.0,5.1,1,1,17
528.0,2016-01-01 18:00:00,3.9,-3.9,1016.2,280.0,4.6,1,1,18
507.0,2016-01-01 19:00:00,3.3,-3.9,1016.0,300.0,5.1,1,1,19
554.0,2016-01-01 20:00:00,3.9,-5.0,1015.8,290.0,4.6,1,1,20
497.0,2016-01-01 21:00:00,3.9,-5.6,1015.7,300.0,4.1,1,1,21
537.0,2016-01-01 22:00:00,3.3,-6.1,1015.7,270.0,4.6,1,1,22
498.0,2016-01-01 23:00:00,2.8,-6.1,1016.3,270.0,4.1,1,1,23
